Frequency,Lifetime
-0.0006325294206939444,0.0
-0.0006221185535766544,0.0
-0.0005428476934163818,0.0
0.3997945043151885,0.6005173842486442
0.5018190061220581,0.6398223162231119
0.5501109795957265,0.6639980874995571
0.5537128347591675,0.9780465173422664
0.5806846213032747,0.48360726473690546
0.6132557683359532,0.8946192436185226
0.6211490264175112,0.6875080071768429
0.6571104582988839,0.605118050574729
0.6601406747179994,0.7751100281980736
0.7027033631117955,0.7136296630910989
0.7044093348619743,0.7965379787797106
0.7437682123666539,0.886157870137063
0.7531111630301018,0.618222634081521
0.7846859724338283,0.6841792037122538
0.7912747709503304,0.5699081794451838
0.8170771484937366,0.5775723879298971
0.8179853213680807,0.6797732995686087
0.8232718650256032,0.4758979685483972
0.8533391692365044,0.4434671881440103
0.8612749894822085,0.5266889568831167
0.8921091119270342,0.436727926744168
0.9233909942108488,0.7396953352892434
0.9615147896557201,0.46396580703194085
0.9670936155000541,0.34455481601180343
0.9832276980629795,0.4115026988384907
1.0170564158911612,0.3872850734930418
1.0180983415425824,0.5098549773334557
1.024301120148241,0.3906479974225481
1.0402636782808516,0.5338740778664524
1.0403249253700741,0.5338740778664524
1.0999420402306275,0.4460861348194706
1.104938870334015,0.3374378033164615
1.128123219578328,0.30666806467112906
1.1472485742238232,0.36968729485147717
1.2033257169699854,0.6099295247132993
1.2458908424129826,0.3840867704896761
1.2600068882597302,0.3580159478570961
1.2772210108746807,0.24395968448393596
1.3110833469231247,0.2303444375805826
1.3193170648779884,0.39673855141224756
1.3323806432344623,0.33207856665806745
1.3324436987421218,0.33207856665806745
1.3662539489371746,0.2420023598211757
1.3802907089138234,0.27501232366942996
1.4206798989479705,0.3432936138867979
1.4352262085280965,0.2787205186339152
1.4824423302316363,0.31701923769775725
1.4838578379444147,0.23431175075718827
1.5027334588387222,0.32504366693264247
1.5329125230350833,0.2120950648005587
1.5338751613030737,0.25723347995437884
1.5976865202061994,0.5087474689332887
1.5987746068331778,0.42005976748850443
1.668204146156525,0.36258480912852376
1.6804737444760778,0.23000207435084796
1.7290967487356652,0.24468586806567655
1.7303361036457823,0.22374500636591185
1.7791874698649508,0.274451661734558
1.7795930612642286,0.2919302464823611
1.7936291926463137,0.3503384564953869
1.8607856264348526,0.24618696078852056
1.895720561277075,0.38900129201932254
1.939516023723896,0.3476443445341844
1.9502175278653937,0.41961274371639323
1.9514378191407085,0.2883824488444719
1.9549200272918936,0.3643423408152963
1.962947335103175,0.4576487445630918
2.036262253583403,0.30082201196010655
2.054333144711328,0.25857164331718596
2.065157605909528,0.29174617709969797
2.083212477387585,0.2912335515483184
2.0863560101169734,0.3008458695174472
2.1301351635375463,0.27932913552146116
2.1696569956129683,0.23289172783212883
2.19888801523134,0.30362104169600523
2.206938573632286,0.2351726353007746
2.223055190482383,0.28737360997448863
2.2541467926049203,0.29095052373698976
2.2667761633762935,0.30684777727611473
2.2792951010767526,0.3957635679149083
2.2862665177361032,0.3111404695022711
2.3855565995606796,0.26109315678787187
2.4123961751863923,0.23758698253923968
2.4217389312130395,0.36704197110985953
2.48801426838981,0.2605177514949693
2.4982111899254265,0.2627162238009279
2.5971675338730065,0.19341312724307408
2.6556049617031663,0.16273233930694808
2.70267129664841,0.2828293110558336
2.776982491896225,0.2870262385565317
2.81163791573404,0.17415104391969893
2.8959226107536935,0.2596153538893001
3.010117850419272,0.21457865850959273
3.064002665984303,0.3213032984829036
3.090732133403889,0.3627679020385457
3.1602182635022693,0.26411671518768093
3.252316686018043,0.28838112098188295
3.347703180549427,0.2896891616616097
3.352287046093065,0.20391113074542994
3.406342918626337,0.25378641053999923
3.4198312709782464,0.25898575811935437
3.6376745927527905,0.3487555061268766
3.695135244096641,0.3307237265438301
3.7286414403743495,0.418823231033711
3.7368720848408876,0.38075296087212407
4.639466356645042,0.19974825140926172
4.76688525321118,0.17439041999814678
4.808631805954309,0.2259571355512412
4.855447502626715,0.1971385013500829
4.922697047427436,0.1898597004181557
4.938952035584988,0.23517739261514808
4.97931131325229,0.2581197108094165
5.037097147049703,0.2222452154589016
5.220478494127482,0.15025631573975928
5.368273645763173,0.1962358242694576
5.471140174669315,0.16544836510084127
5.511874440472971,0.22414821934861542
5.581213550393146,0.19626606285082215
5.66938837774654,0.14193122107259462
5.774341804949751,0.24053637858324664
5.792981453443578,0.14333250832173164
5.844040484933447,0.15399749597427936
6.01534723659428,0.180889537399819
6.0366843874279335,0.1456543713564412
6.064502549124997,0.15519302245545144
6.08962162801467,0.15336058532133737
6.170320234081386,0.14429271325005005
6.210494774558059,0.16976257364131359
6.271473728458414,0.16829212503682273
6.444471113716216,0.2403485412060156
6.537267174304574,0.19211768260765497
6.544896700163699,0.19899904929357035
6.546546322045723,0.2553819433297227
6.5790956059891785,0.18934418590388938
6.586285712813406,0.17061209066093894
6.650516247882203,0.20923501638505773
6.749639531649487,0.18827606154910007
6.872364091747029,0.24725451375520152
6.891664948484426,0.23775862606606243
6.920723553457479,0.16512693429560923
7.000526756296927,0.25528712548592486
7.012021432830748,0.16966221292114245
7.044353038158623,0.20256037167247293
7.114096896184694,0.17452492703693717
7.127206570851534,0.22309897372106577
7.24912867133301,0.2790176168871312
7.255119494088455,0.18181077376169627
7.363865606487654,0.18308383238378076
7.395778470733525,0.26208593163661564
7.414390960335385,0.26559110805203484
7.495402722947369,0.20048610616972673
7.4980230918545026,0.2172298174882601
7.586543774617353,0.18021868467840854
7.632708801864986,0.1828081395910076
7.6364007136036065,0.16641386691279006
7.657733677652159,0.1848673631064501
7.6659687451060945,0.1753218903390918
8.209019327923327,0.32570837824190496
8.228799877681316,0.24367428817327738
8.282119614866662,0.40686006053973806
8.334828212125558,0.3175023664768563
9.688272414887063,0.545210217497927
9.739110949606008,0.5887021910406348
9.76364918222254,0.5695102289314782
10.036893192043648,0.44812426198520244
10.08025041820455,1.1102302035717024
10.100965344572444,0.9789910318938054
10.1481731688655,0.9229267335236103
10.161661871757914,0.9938905879406742
10.44609479809598,1.4046525939880952
10.46602250084858,0.5900890707878572
10.46946535536854,1.1183644312038348
10.477058982175127,1.4406684210809537
10.54006857554376,0.8165235627617229
10.91279133443234,0.9177335419079045
10.91433807188483,0.7815681617281038
11.056909158720753,0.8595887324243949
0.1209779594202991,18.028149988142633
0.15030189388353887,15.325044578096321
0.318151985879567,4.4008197033001055
0.40449906225080445,0.5893500922876325
0.48614374859173376,0.7107409936975566
0.537035242227958,0.6344973954811856
0.5493020872016164,1.074333131139753
0.5595410244426111,0.6002692382934993
0.6080853512820182,0.8443585417403238
0.6288686093087517,0.6509947003392296
0.6381508232067977,0.745153236601826
0.6757878905493379,0.566778077861326
0.7058078875876611,0.6965155649818248
0.7155013194036929,0.6852747228637954
0.7311757720028248,0.979880651435533
0.7428723586254392,0.657581886124183
0.7859822239955893,0.5541545595143046
0.7865092138827788,0.67121437541115
0.8144066249296475,0.5413277335461147
0.8208802798567084,0.472755212381254
0.8326470746668535,0.6339203533474225
0.8461861489952573,0.5073330745430427
0.8794235860204132,0.48740644609890243
0.9003694938700479,0.5051150770459826
0.9221220299102273,0.6319994263073411
0.9628040260277902,0.43906589881361296
0.9652234801555987,0.3796837741515227
0.9822225118625212,0.41025834708898545
0.9979967701667398,0.3828702928021203
1.0205258002132607,0.6482743893391654
1.0278726923998456,0.4477768359461
1.0325381140418644,0.426523773511565
1.0433509453542948,0.3976020761667055
1.0925221608277553,0.370722769758209
1.1042389472354661,0.3296346968708848
1.1368884047401082,0.3336461394329027
1.1844714982329656,0.3499436883180405
