Composition,v_l,v_t,v_m,kappa_cahill,kappa_agne
Ag8SiS6,2978.5894899044506,1387.300424096521,1562.1871121917452,0.42790804396474125,0.2688403604215814
Ag8GeS6,2963.194209865234,1372.196158992735,1545.6037023685176,0.4202378729466995,0.2640214476433131
Ag8SnS6_RT,2923.9385214083227,1332.9605682040387,1502.4988107689358,0.4022015917998131,0.25268985340809597
Ag8SnS6_LT,3072.926146413654,1434.7943393669414,1615.4747645819375,0.42648871469261124,0.2679486431508779
