,Temperature,Kappa_total,kappa_diff,kappa_ph
0,0.0,0.0,0.0,0.0
1,10.0,0.8713940650285891,0.007776171265657924,0.8636178937629312
2,20.0,0.3037815468496755,0.03469573598117328,0.2690858108685022
3,30.0,0.22134773907021552,0.05965506247150092,0.16169267659871459
4,40.0,0.19644984885336658,0.07830537271511051,0.11814447613825607
5,50.0,0.18718546121925417,0.0928857885869863,0.09429967263226786
6,60.0,0.184233444181202,0.10506165566997298,0.07917178851122904
7,70.0,0.18432340312155918,0.1155913830030569,0.06873202011850228
8,80.0,0.18592362043335986,0.12481134486798208,0.06111227556537777
9,90.0,0.188217732354352,0.13291220417552482,0.05530552817882712
10,100.0,0.19075675265421452,0.14003959884767422,0.0507171538065403
11,110.0,0.19329855418739517,0.14632160440895742,0.046976949778437756
12,120.0,0.19571999075548677,0.1518733813713187,0.04384660938416803
13,130.0,0.19796564324038468,0.15679690413576383,0.041168739104620884
14,140.0,0.200017593216447,0.16118073250987477,0.038836860706572225
15,150.0,0.20187776351506792,0.16510062743704623,0.03677713607802168
16,160.0,0.20355778541203648,0.168620770878911,0.034937014533125484
17,170.0,0.20507332664945702,0.17179524327746284,0.033278083371994206
18,180.0,0.20644102573243403,0.17466951697321495,0.03177150875921908
19,190.0,0.2076769241970963,0.17728183503177855,0.030395089165317763
20,200.0,0.20879574289682856,0.17966442079872247,0.029131322098106066
21,210.0,0.20981062117589047,0.18184450709264918,0.027966114083241334
22,220.0,0.2107330996528585,0.18384519587698533,0.0268879037758732
23,230.0,0.21157322238665469,0.18568616843739016,0.02588705394926452
24,240.0,0.21233968950643234,0.18738426842345424,0.024955421082978112
25,250.0,0.21304002326123847,0.1889539790905884,0.02408604417065009
26,260.0,0.21368072859891843,0.19040781364425508,0.02327291495466337
27,270.0,0.21426743955435726,0.19175663475919547,0.022510804795161835
28,280.0,0.21480504828569177,0.1930099166118567,0.021795131673835077
29,290.0,0.21529781651507807,0.194175960332317,0.021121856182761075
30,300.0,0.21574947055618518,0.19526207171422602,0.020487398841959145
31,310.0,0.21616328170926027,0.19627470830908758,0.019888573400172662
32,320.0,0.21654213395937041,0.1972196016362604,0.019322532323110018
33,330.0,0.21688858084243387,0.1981018591148265,0.01878672172760736
34,340.0,0.21720489316922179,0.19892604942117953,0.01827884374804224
35,350.0,0.21749309908648748,0.19969627425495573,0.01779682483153174
36,360.0,0.21775501774180347,0.20041622892019437,0.01733878882160909
37,370.0,0.21799228762156583,0.20108925366900152,0.016903033952564303
38,380.0,0.21820639045699242,0.20171837738773157,0.016488013069260826
39,390.0,0.21839867144242822,0.20230635491172363,0.016092316530704615
40,400.0,0.21857035638284097,0.20285569901881628,0.01571465736402468
41,410.0,0.21872256628073514,0.20336870796221249,0.015353858318522663
42,420.0,0.2188563297841307,0.20384748925030438,0.01500884053382629
43,430.0,0.21897259384405,0.20429398025733647,0.014678613586713478
44,440.0,0.2190722328696573,0.204709966148381,0.014362266721276313
45,450.0,0.2191560566195936,0.20509709552034994,0.014058961099243645
46,460.0,0.219224817027296,0.2054568940940047,0.013767922933291285
47,470.0,0.2192792141246057,0.20579077673721424,0.013488437387391477
48,480.0,0.21931990120041703,0.20610005805471956,0.013219843145697475
49,490.0,0.21934748930846168,0.2063859617425622,0.012961527565899437
50,500.0,0.21936255121962941,0.2066496288746147,0.012712922345014728
51,510.0,0.21936562489880732,0.20689212526316067,0.012473499635646654
52,520.0,0.21935721657345109,0.2071144480142247,0.012242768559226375
53,530.0,0.21933780345053455,0.20731753138061196,0.012020272069922582
54,540.0,0.21930783612973168,0.20750225200073733,0.011805584128994365
55,550.0,0.21926774075338118,0.20766943359882536,0.011598307154555829
