Tem,Conductivity
2.62046471318426,0.081274752023701
3.04711974343847,0.102589288904984
3.49744835335752,0.125755710828631
3.96702147560259,0.149962046971368
4.44179512300605,0.173557121952867
4.92221195714765,0.196268430724333
5.40535439145264,0.217872420327327
5.89319173864394,0.237685230097761
6.38849593123539,0.256367494060463
6.8828998650399,0.273633728886009
7.3742232088793,0.288747712058377
7.86746248988344,0.301129937197509
8.35909956619201,0.312005195843258
8.85021286406811,0.321767989069265
9.35399784938162,0.329844424551723
9.84936710258864,0.336260538736216
10.3451223928532,0.341365497923281
10.8420699286714,0.344762844580059
11.332855360205,0.347248010043336
11.8326297811861,0.34866647481995
12.323347663991,0.350440602327019
12.8101893592097,0.350186487167915
13.3052408151963,0.347833531163067
13.800405347068,0.349692276407808
14.2943712612105,0.348605828443739
14.7919144647761,0.3468166427753
15.285676568459,0.34362565949539
15.8327425572294,0.344649967546224
16.2621142353575,0.3465696939559
16.8513824232936,0.370910554663075
17.3903037679224,0.377068167603513
17.8173779758606,0.334751954991188
18.2943888997945,0.331609475865178
18.787982956679,0.328754982183661
19.28445967078,0.326341497017363
19.7823573520638,0.324044135161863
20.2806405213186,0.321083934416489
20.7779615216269,0.318229363191926
21.2811223873479,0.314434251285321
21.7968315020329,0.311077221683598
22.3203250925011,0.307724370466912
22.8524299736024,0.304363676624418
23.3995217502698,0.300849361629745
23.9551631815639,0.29599537526441
24.5398643119591,0.292621898294488
25.1450061021864,0.288399738928045
25.7628497983439,0.28511475347013
26.3971799252767,0.281094634137254
27.0524176361061,0.27778983305794
27.7345115876165,0.274642585240912
28.433750592785,0.270703264565622
29.1663163355953,0.267871469087522
29.9251530646853,0.264742203915814
30.7115628899525,0.261245475050213
31.5427586436931,0.258402848686987
32.4081868894959,0.255397377709581
33.3038922887058,0.252554932785104
34.233263151047,0.250006418190042
35.2110186610558,0.247417098804138
36.2323367272571,0.244479737785798
37.2982904772456,0.241626783787186
38.4220564437436,0.239258087734542
39.6062087696407,0.236643214134138
40.8473242929028,0.233938021291307
42.1493793855591,0.231280280649324
43.5226367653422,0.229054224935498
44.9790197358377,0.226626735306134
46.5098828987205,0.224564618548916
48.1332939307897,0.222191944141484
49.8529033826247,0.219912163617721
51.6722997281968,0.217570486585219
53.6055378921453,0.215472170333025
55.6558661620652,0.213309612837897
57.8334953408058,0.210995694435699
60.144503825094,0.208763028630053
62.6070228165389,0.206558519156645
65.2284682828081,0.204704990559164
68.0215417214738,0.202590276605723
70.9826173389133,0.20054977685712
74.1306122556195,0.198724901600138
77.4740200302613,0.196886849807028
81.0223529660327,0.195004899769524
84.778421493568,0.193350288788618
88.7479534934082,0.191930484370075
92.9320766685698,0.190749756340367
97.3369466282994,0.189708653565918
101.955871107052,0.188504275123275
106.78620186907,0.187550278481996
111.835614654275,0.186409397938645
117.108233742609,0.185559441763845
122.590529942908,0.18487468912142
128.281212430232,0.184030352870193
134.151958427982,0.183426887449653
140.212821643609,0.182855396534817
146.438149773071,0.182405155160921
152.816900452598,0.182189074604636
159.337388124366,0.181854723702061
165.983667175814,0.181285870561288
172.749249693347,0.181282680629153
179.613260822164,0.18101535168626
186.575393536679,0.180776432599821
193.641785823507,0.180842178041752
200.774440316209,0.180624156892254
207.974702246084,0.180439471061911
215.246799404458,0.180198191596896
222.545591320705,0.180391792281988
229.863559423072,0.180867960490357
237.218677119509,0.180048233526428
244.588349130932,0.179630942462785
251.961362787377,0.179769578512682
259.343177390042,0.179430672591317
266.720706919402,0.179040299339922
274.102256368198,0.178450026872396
281.476846579694,0.178520179792254
288.843664589716,0.178510220743917
296.187670801686,0.178716603291899
