Composition,v_l,v_t,v_m,kappa_cahill,kappa_agne
Ag8SiS6,2982.681711774302,1389.147705814484,1564.2704455279047,0.42848720576422217,0.2692042284748019
Ag8GeS6,2960.6695077304953,1368.9504752153214,1542.0581761247972,0.4195740382540156,0.26360438243372286
Ag8SnS6_RT,2923.2776499794277,1332.4955441653615,1501.9829867975795,0.4020871219567386,0.25261793582135367
Ag8SnS6_LT,3042.8341907528516,1417.5957550677795,1596.2813491441975,0.42131903181300256,0.2647007037203824
Ag8GeSe6,2972.0776612013387,1345.9666691628274,1517.609176735669,0.389421072356413,0.24466027905912238
