[Header]
; Thermal Transport Data File (default extension .dat)
; Copyright 2000, Quantum Design, Inc. All rights reserved.
TITLE,D387_Ag8GeS6_TTO
FILEOPENTIME,3945699260.4714,01/10/2025,6:39 pm
BYAPP,THERMAL_TRANSPORT,1.0,1.1,1.2
INFO,PPMS Thermal Transport Option Version: Release 2.0.0,APPNAME
INFO,Ag8GeS6,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.9898,SAMPLE_VLEAD_SEPARATION
INFO,1.9898,SAMPLE_ILEAD_SEPARATION
INFO,18.814,SAMPLE_CROSS_SECTION
INFO,30.59,SAMPLE_SURFACE_AREA
INFO,1.0,SAMPLE_EMISSIVITY
DATATYPE,COMMENT,1
DATATYPE,TIME,2
FIELDGROUP,ThermalCond, 2,4,5,6,7,8,19,20,22,28
FIELDGROUP,SeebeckCoef, 2,4,5,6,9,10,19,20,22,28
FIELDGROUP,Resistivity, 2,4,5,6,11,12,19,20,22,28
FIELDGROUP,Merit-ZT,    2,4,5,6,7,8,9,10,11,12,13,14,19,20,22,28
STARTUPGROUP,All
STARTUPAXIS,X,6
STARTUPAXIS,Y1,7
STARTUPAXIS,Y2,9
STARTUPAXIS,Y3,11
[Data]
Comment,Time Stamp (sec),Status (code),Error (code),Magnetic Field (Oe),Sample Temp. (K),Conductivity (W/K-m),Cond. Error,Seebeck Coef. (µV/K),Seebeck Error,Resistivity (Ohm-m),Resist Error,Figure of Merit ZT,Merit Error,Delta Temp. (K),Conductance (W/K),Raw Conductance (W/K),Seebeck Volt. (µV),Resistance (Ohm),Min. Temp. (K),Max. Temp. (K),Temp. Rise (K),Req. Htr Power (W),Heater Power (W),Rad. Loss (W),Cond. Pwr. (W),Heater Current (mA),Res. Drive (mA),Res. Freq (Hz),Period (sec),Period Ratio,tau1 (sec),tau2 (sec),Seebeck Gain,Resist. Gain,System Temp (K),Chamber Pressure (Torr),Temperature Status,Field Status,Chamber Status,Hot Baseline Avg (K),Cold Baseline Avg (K),QMap 1,QMap 2,QMap 3,QMap 4,QMap 5,QMap 6,QMap 7,QMap 8,QMap 9,QMap 10,QMap 11,QMap 12,QMap 13,QMap 14,QMap 15,QMap 16
,3945722680.57314,1810,18432,0,7.3742232088793,0.288747712058377,0.000614814200348551,,,0,0,,,0.0600296451905887,0.00273017361275821,0.00273071117639149,,0,7.18769057626049,7.46742017957602,0.157155141440293,0.000163932347571752,0.000163923623036756,3.48784432231855E-10,0.000163923274252324,0.285151977539063,7.9999970703125,,29.696,26.2991144408695,1.12916349585717,0.0019,998.9870568,0.99973338842392,7.41016626358032,9.89999989542412E-6,2,1,7,7.33961357208226,7.33720290011266,,,,,,,,,,,,,,,,
,3945722739.65114,1810,18432,0,7.86746248988344,0.301129937197509,0.000630595747870127,,,0,0,,,0.0692942452450752,0.00284725029572517,0.00284781972609064,,0,7.6756411332257,7.97062295284403,0.176403822061389,0.000197339142581437,0.000197337518513488,4.71598021988088E-10,0.000197337046915466,0.312895965576172,7.9999970703125,,29.696,24.923965506413,1.19146369354263,0.0019,998.9870568,0.99973338842392,7.90253186225891,9.89999989542412E-6,2,1,7,7.82692263019278,7.82493336564644,,,,,,,,,,,,,,,,
,3945722798.62349,1810,18432,0,8.35909956619201,0.312005195843258,0.000640478423096332,,,0,0,,,0.0781848665733146,0.00295007827650772,0.00295067078541092,,0,8.16273769362247,8.47090313871763,0.190959996758858,0.000230685076132059,0.00023069780165913,6.05888549966371E-10,0.00023069719577058,0.338340454101562,7.9999970703125,,29.696,23.7771181425292,1.24893184371591,0.0019,998.9870568,0.99973338842392,8.39720678329468,9.89999989542412E-6,2,1,7,8.31553635172999,8.31325049117324,,,,,,,,,,,,,,,,
,3945722857.42402,1810,18432,0,8.85021286406811,0.321767989069265,0.000685266566926344,,,0,0,,,0.0876901461690264,0.00304238765019055,0.00304300967764189,,0,8.6496514338284,8.9716723169246,0.208088940770899,0.000266827686426122,0.000266841963426179,7.77033844060657E-10,0.000266841186392335,0.363909881591797,7.9999970703125,,29.696,23.0043813297895,1.29088453083262,0.0019,998.9870568,0.99973338842392,8.88781499862671,9.89999989542412E-6,2,1,7,8.80164833398204,8.80026771931247,,,,,,,,,,,,,,,,
,3945722917.84435,1810,18432,0,9.35399784938162,0.329844424551723,0.000685513829916928,,,0,0,,,0.0973446825090108,0.00311875213766013,0.00311937277240286,,0,9.14881027795891,9.4852066851889,0.213646520166909,0.000303656471064801,0.00030365435215681,9.2117663591575E-10,0.000303653430980174,0.388229614257812,7.9999970703125,,29.696,21.8914901220815,1.35650884587551,0.0019,998.9870568,0.99973338842392,9.38998889923096,9.89999989542412E-6,2,1,7,9.30153478375336,9.3001100332394,,,,,,,,,,,,,,,,
,3945722976.99717,1810,18432,0,9.84936710258864,0.336260538736216,0.000703284345654002,,,0,0,,,0.11045090032967,0.00317941791927991,0.00318006900479353,,0,9.63810357449646,9.99332808630225,0.236699004105162,0.000351248782955817,0.000351241484689922,1.1808305524544E-9,0.00035124030385937,0.4175732421875,7.9999970703125,,29.696,21.0247567068988,1.41243013719421,0.0019,998.9870568,0.99973338842392,9.87991714477541,9.89999989542412E-6,2,1,7,9.78817852671069,9.78659297311858,,,,,,,,,,,,,,,,
,3945723036.41633,1810,18432,0,10.3451223928532,0.341365497923281,0.000699572899486713,,,0,0,,,0.122307674301471,0.00322768643980732,0.00322836128466634,,0,10.1294091192556,10.4998628133512,0.25354186197848,0.00039485527212982,0.00039485336053245,1.45149377054112E-9,0.000394851909038679,0.442767791748047,7.9999970703125,,29.696,20.1526309451123,1.47355449920559,0.0019,998.9870568,0.99973338842392,10.3817825317382,9.89999989542412E-6,2,1,7,10.2830028590572,10.28311782481,,,,,,,,,,,,,,,,
,3945723096.00185,1810,18432,0,10.8420699286714,0.344762844580059,0.000664202818091787,,,0,0,,,0.134667037056626,0.00325980910540217,0.00326050097357274,,0,10.621705895044,11.0076408261575,0.267750297905282,0.000439091290011279,0.000439082005431284,1.73763326301425E-9,0.000439080267798021,0.466937530517578,7.9999970703125,,29.696,19.0522967718792,1.5586572241427,0.0019,998.9870568,0.99973338842392,10.8724813461304,9.89999989542412E-6,2,1,7,10.7706729584937,10.7712860232896,,,,,,,,,,,,,,,,
,3945723154.68479,1810,18432,0,11.332855360205,0.347248010043336,0.00066109359101433,,,0,0,,,0.14806619093388,0.00328330689564545,0.00328401300212336,,0,11.1071846734234,11.5106028103998,0.281943704496175,0.000486238622357021,0.000486251296201741,2.05845587711373E-9,0.000486249237745864,0.4914072265625,7.9999970703125,,29.696,18.2769765811405,1.62477638837938,0.0019,998.9870568,0.99973338842392,11.3634552955627,9.89999989542412E-6,2,1,7,11.25769461185,11.2586333620902,,,,,,,,,,,,,,,,
,3945723214.24917,1810,18432,0,11.8326297811861,0.34866647481995,0.000629906427706985,,,0,0,,,0.162638148744575,0.00329671879448313,0.00329745118411222,,0,11.601643564962,12.0230778714442,0.301684782176258,0.000536302026258374,0.000536291356159618,2.48134686612104E-9,0.000536288874812752,0.516101867675781,7.9999970703125,,29.696,17.3878386517843,1.7078603381768,0.0019,998.9870568,0.99973338842392,11.8572039604187,9.89999989542412E-6,2,1,7,11.7506938682256,11.7518558885873,,,,,,,,,,,,,,,,
,3945723273.05215,1810,18432,0,12.323347663991,0.350440602327019,0.000642627905339225,,,0,0,,,0.176111005819991,0.0033134935632629,0.00331424779954244,,0,12.0875079255512,12.5254409819605,0.316942242986135,0.00058366061853409,0.000583675513514113,2.91017996244409E-9,0.00058367260333415,0.538447021484375,7.9999970703125,,29.696,16.8068814802079,1.76689530624527,0.0019,998.9870568,0.99973338842392,12.3475203514099,9.89999989542412E-6,2,1,7,12.2359316702645,12.2364676438254,,,,,,,,,,,,,,,,
,3945723331.34908,1810,18432,0,12.8101893592097,0.350186487167915,0.000608020850210794,,,0,0,,,0.190910822640856,0.00331109084811396,0.00331188098245382,,0,12.5699398541904,13.0245770962158,0.3397653239962,0.000632254809161817,0.000632273922848866,3.4901273127656E-9,0.000632270432721554,0.560442260742188,7.9999970703125,,29.696,16.0079789259526,1.85507490591807,0.0019,998.9870568,0.99973338842392,12.8371105194091,9.89999989542412E-6,2,1,7,12.7198403712946,12.7215109306829,,,,,,,,,,,,,,,,
,3945723390.72549,1810,18432,0,13.3052408151963,0.347833531163067,0.000504831600649416,,,0,0,,,0.204794357070868,0.00328884312760174,0.00328964840201976,,0,13.0613280362771,13.5293334114857,0.350918789971887,0.000673716801385156,0.000673701429480843,3.97866478269305E-9,0.00067369745081606,0.578538330078125,7.9999970703125,,29.696,14.7882171203285,2.00808520448206,0.0019,998.9870568,0.99973338842392,13.3289370536804,9.89999989542412E-6,2,1,7,13.2103456450921,13.2123461316586,,,,,,,,,,,,,,,,
,3945723450.06176,1810,18432,0,13.800405347068,0.349692276407808,0.000561281231149519,,,0,0,,,0.21769989014805,0.00330641797584506,0.0033072509077393,,0,13.5528004522967,14.0355478992028,0.365106792669305,0.000720006020737403,0.000719988159306882,4.57578532099867E-9,0.000719983583521561,0.598109069824219,7.9999970703125,,29.696,14.6036876132717,2.03345899928814,0.0019,998.9870568,0.99973338842392,13.8235402107238,9.89999989542412E-6,2,1,7,13.699554079991,13.7022536054072,,,,,,,,,,,,,,,,
,3945723509.24049,1810,18432,0,14.2943712612105,0.348605828443739,0.000537199361223408,,,0,0,,,0.232994734173789,0.00329614536955498,0.0032970101435245,,0,14.0422000872157,14.5415125724296,0.38440056691533,0.000768208688763327,0.000768186001958778,5.31901401799299E-9,0.00076818068294476,0.617829833984375,7.9999970703125,,29.696,13.9671001850585,2.12613925629085,0.0019,998.9870568,0.99973338842392,14.3198046684265,9.89999989542412E-6,2,1,7,14.1908120071585,14.19408090339,,,,,,,,,,,,,,,,
,3945723568.84822,1810,18432,0,14.7919144647761,0.3468166427753,0.000503537023445443,,,0,0,,,0.247724477545574,0.00327922822252211,0.0032801159667984,,0,14.535148394778,15.0499120612138,0.397940540878789,0.000812581023165986,0.00081256501416403,6.03219523996943E-9,0.00081255898196879,0.635450988769531,7.9999970703125,,29.696,13.3169433992098,2.22994114413389,0.0019,998.9870568,0.99973338842392,14.8153262138366,9.89999989542412E-6,2,1,7,14.6840494723143,14.6870371569108,,,,,,,,,,,,,,,,
,3945723628.54594,1810,18432,0,15.285676568459,0.34362565949539,0.000457907887983143,,,0,0,,,0.264420880358993,0.00324905676839193,0.00325001393346635,,0,15.029007745098,15.5553792099178,0.434754329251323,0.0008593423596937,0.000859371545466167,7.34321836852031E-9,0.000859364202247798,0.653522033691406,7.9999970703125,,29.696,12.5598202531565,2.36436504674793,0.0019,998.9870568,0.99973338842392,15.3020672798156,9.89999989542412E-6,2,1,7,15.1667091917179,15.1703271504011,,,,,,,,,,,,,,,,
