# Tetrahedron method
       -1.1536548078        0.0000000000
       -1.0846139521        0.0000000000
       -1.0155730965        0.0000000000
       -0.9465322408        0.0000000000
       -0.8774913851        0.0000000000
       -0.8084505295        0.0000000000
       -0.7394096738        0.0000000000
       -0.6703688182        0.0000000000
       -0.6013279625        0.0000000000
       -0.5322871068        0.0000000000
       -0.4632462512        0.0000000000
       -0.3942053955        0.0000000000
       -0.3251645398        0.0000000000
       -0.2561236842        0.0000000000
       -0.1870828285        0.0000000000
       -0.1180419728        0.0000000000
       -0.0490011172        0.0000000000
        0.0200397385        0.0039292694
        0.0890805941        0.0828906818
        0.1581214498        0.4198910358
        0.2271623055        0.9573307921
        0.2962031611       14.0335724859
        0.3652440168       27.4100561327
        0.4342848725       18.0843253206
        0.5033257281       23.7451782848
        0.5723665838       43.6455047177
        0.6414074395       31.1783728687
        0.7104482951       25.7513989391
        0.7794891508       24.4614698242
        0.8485300065       28.2842259420
        0.9175708621       28.1485236645
        0.9866117178       30.6741091298
        1.0556525734       62.4318089761
        1.1246934291       55.5226585137
        1.1937342848       59.2411488691
        1.2627751404       36.6986458669
        1.3318159961       36.3048259029
        1.4008568518       77.7044761448
        1.4698977074       39.2262888506
        1.5389385631       59.0099022718
        1.6079794188       23.8519548504
        1.6770202744       32.6139670720
        1.7460611301       36.1930129276
        1.8151019857       42.8342595306
        1.8841428414       25.7401449741
        1.9531836971        2.9196031583
        2.0222245527       18.1296502624
        2.0912654084       42.2455445807
        2.1603062641       51.6248737515
        2.2293471197       53.8158920387
        2.2983879754       42.0668763965
        2.3674288311       52.9229433021
        2.4364696867       55.7469457631
        2.5055105424        9.1857960501
        2.5745513981       33.3044200466
        2.6435922537       10.5282869082
        2.7126331094       39.1479156537
        2.7816739650       26.9592776146
        2.8507148207        4.1245230970
        2.9197556764        0.0000000000
        2.9887965320       11.2204359244
        3.0578373877       10.2593868917
        3.1268782434       15.5660145084
        3.1959190990       24.5860758038
        3.2649599547       24.4049065285
        3.3340008104       29.1959256005
        3.4030416660        0.0000000000
        3.4720825217        0.0000000000
        3.5411233773       54.9917678307
        3.6101642330       14.6403990995
        3.6792050887        0.0000000000
        3.7482459443        0.0000000000
        3.8172868000        8.3011751285
        3.8863276557       20.5490874904
        3.9553685113       17.4225744821
        4.0244093670        4.4129915502
        4.0934502227        0.0000000000
        4.1624910783        0.0000000000
        4.2315319340        0.0000000000
        4.3005727897        0.0000000000
        4.3696136453        0.0000000000
        4.4386545010        0.0000000000
        4.5076953566        0.0000000000
        4.5767362123        0.0000000000
        4.6457770680        0.0000000000
        4.7148179236        0.0000000000
        4.7838587793       20.7401769416
        4.8528996350       30.7299069459
        4.9219404906        3.3386382012
        4.9909813463        0.0000000000
        5.0600222020       24.3105300738
        5.1290630576       16.4234805173
        5.1981039133        0.5748106065
        5.2671447689        0.0000000000
        5.3361856246        0.0000000000
        5.4052264803        0.8235465168
